year,month,categorization,num_establishments,num_rooms
2018,3,Classified Tourist Hotels,141,12828 
2018,3,Five stars 20 4,217 
2018,3,Four Star 19 2,149 
2018,3,Three Star 25 2,957 
2018,3,Two Star 37 1,738 
2018,3,One Star 40 1,767 
2018,3,Tourist Hotels (Unclassified),229,9962 
2018,3,Boutique Hotel,28,564 
2018,3,Boutique Villa,37,242     
2018,3,Guest House,895,9708       
2018,3,Bungalow,348,1462 
2018,3,Heritage Bungalow,4,19 
2018,3,Heritage Home,2,8 
2018,3,Home Stay Unit,378,1138 
2018,3,Rented Apartment,63,183 
2018,3,Rented Home,6,19
2018,6,Classified Tourist Hotels 136 12,822 
2018,6,Five Star,22,4950 
2018,6,Four Star,19,2112 
2018,6,Three Star,23,2364 
2018,6,Two Star,35,1680 
2018,6,One Star,37,1716 
2018,6,Tourist Hotels (Unclassified),230,9952 
2018,6,Boutique Hotels,28,564 
2018,6,Boutique Villas,38,251 
2018,6,Guest Houses,904,9845 
2018,6,Bungalows,354,1491 
2018,6,Heritage Bungalows,4,19 
2018,6,Heritage Homes,2,8 
2018,6,Home Stay Units,395,1194 
2018,6,Rented Apartments,67,216 
2018,6,Rented Homes,6,19
2018,9,Classified Tourist Hotels,138,13079 
2018,9,Five Star,22,4950 
2018,9,Four Star,21,2369 
2018,9,Three Star23,2364 
2018,9,Two Star,35,1680 
2018,9,One Star,37,1716 
2018,9,Tourist Hotel (Unclassified),229,9756 
2018,9,Boutique Hotel,29,574 
2018,9,Boutique Villa,39,256 
2018,9,Guest House,914,9953 
2018,9,Bungalow,372,1554 
2018,9,Heritage Bungalow,4,19 
2018,9,Heritage Home,2,8 
2018,9,Home Stay Unit,415,1259 
2018,9,Rented Apartment,67,216 
2018,9,Rented Home,6,19
2018,12,Classified Tourist Hotels,145,13408 
2018,12,Five Star,23,5150 
2018,12,Four Star,21,2302 
2018,12,Three Star,24,2416 
2018,12,Two Star,38,1788 
2018,12,One Star,39,1752 
2018,12,Tourist Hotel (Unclassified),241,10456 
2018,12,Boutique Hotel,31,628 
2018,12,Boutique Villa,40,265 
2018,12,Guest House,936,10218 
2018,12,Bungalow,395,1633 
2018,12,Heritage Bungalow,4,19 
2018,12,Heritage Home,3,9 
2018,12,Home Stay Unit,442,1337 
