year,month,project_status,district,num_of_projects,num_of_rooms,investments
2018,3,none,Galle,54,3090,NA
2018,3,none,Colombo,41,5308,NA
2018,3,none,Hambantota,30,1600,NA
2018,3,none,Kalutara,26,1650,NA
2018,3,none,Gampaha,21,1171,NA
2018,3,none,Matara,20,826,NA
2018,3,none,Trincomalee,18,463,NA
2018,3,none,Batticaloa,16,439,NA
2018,3,none,Matale,16,620,NA
2018,3,none,Kandy,15,539,NA
2018,3,none,Puttalam,13,500,NA
2018,3,none,Jaffna,10,315,NA
2018,3,none,Nuwara Eliya,9,714,NA
2018,3,none,Badulla,8,280,NA
2018,3,none,Ampara,5,73,NA
2018,3,none,Anuradhapura,3,95,NA
2018,3,none,Rathnapura,3,66,NA
2018,3,none,Monaragala,2,42,NA
2018,3,none,Vavuniya,2,49,NA
2018,3,none,Kegalle,1,50,NA
2018,3,none,Kurunegala,1,16,NA
2018,3,none,Manar,1,52,NA
2018,3,none,Polonnaruwa,1,33,NA
2018,6,none,Ampara,6,81,NA
2018,6,Anuradhapura,3,95,NA
2018,6,none,Batticaloa,16,439,NA
2018,6,none,Badulla,8,280,NA
2018,6,none,Colombo,43,5340,NA
2018,6,none,Galle,54,3090,NA
2018,6,none,Gampaha,21,1171,NA
2018,6,none,Hambantota,30,1600,NA
2018,6,none,Jaffna,10,351,NA
2018,6,none,Kalutara,26,1650,NA
2018,6,none,Kandy,16,559,NA
2018,6,none,Kegalle,1,50,NA
2018,6,none,Kurunegala,1,16,NA
2018,6,none,Matale,17,656,NA
2018,6,none,Matara,22,861,NA
2018,6,none,Nuwara Eliya,9,714,NA
2018,6,none,Puttalam,14,665,NA
2018,6,none,Trincomalee,20,540,NA
2018,6,none,Monaragala,2,42,NA
2018,6,none,Mannar,1,52,NA
2018,6,none,Polonnaruwa,1,33,NA
2018,6,none,Ratnapura,3,66,NA
2018,6,none,Vavuniya,2,49,NA
2018,9,none,Ampara,6,81,NA
2018,9,none,Anuradhapura,3,95,NA
2018,9,none,Batticaloa,16,439,NA
2018,9,none,Badulla,10,300,NA
2018,9,none,Colombo,44,5357,NA
2018,9,none,Galle,57,3113,NA
2018,9,none,Gampaha,21,1171,NA
2018,9,none,Hambantota,30,1600,NA
2018,9,none,Jaffna,10,315,NA
2018,9,none,Kalutara,26,1650,NA
2018,9,none,Kandy,16,559,NA
2018,9,none,Kegalle,1,50,NA
2018,9,none,Kurunegala,1,16,NA
2018,9,none,Matale,18,671,NA
2018,9,none,Matara,25,897,NA
2018,9,none,Nuwara Eliya,9,714,NA
2018,9,none,Puttalam,14,665,NA
2018,9,none,Trincomalee,20,540,NA
2018,9,none,Monaragala,2,42,NA
2018,9,none,Mannar,1,52,NA
2018,9,none,Polonnaruwa,2,54,NA
2018,9,none,Rathnapura,3,66,NA
2018,9,none,Vavunia,2,49,NA
2018,12,none,Ampara,7,95,NA
2018,12,none,Anuradhapura,4,111,NA
2018,12,none,Batticaloa,16,439,NA
2018,12,none,Badulla,10,300,NA
2018,12,none,Colombo,44,5357,NA
2018,12,none,Galle,61,3177,NA
2018,12,none,Gampaha,23,1245,NA
2018,12,none,Hambantota,31,1610,NA
2018,12,none,Jaffna,10,315,NA
2018,12,none,Kalutara,26,1650,NA
2018,12,none,Kandy,16,559,NA
2018,12,none,Kegalle,2,60,NA
2018,12,none,Kurunegala,1,16,NA
2018,12,none,Matale,19,677,NA
2018,12,none,Matara,25,897,NA
2018,12,none,Nuwara Eliya,9,714,NA
2018,12,none,Puttalam,15,685,NA
2018,12,none,Trincomalee,21,590,NA
2018,12,none,Monaragala,2,42,NA
2018,12,none,Mannar,1,52,NA
2018,12,none,Polonnaruwa,2,54,NA
2018,12,none,Ratnapura,3,66,NA
2018,12,none,Vavuniya,2,49,NA
2019,3,none,Ampara,7,95,NA
2019,3,none,Anuradhapura,4,111,NA
2019,3,none,Batticaloa,15,413,NA
2019,3,none,Badulla,10,300,NA
2019,3,none,Colombo,45,5353,NA
2019,3,none,Galle,68,3263,NA
2019,3,none,Gampaha,23,1245,NA
2019,3,none,Hambantota,32,1622,NA
2019,3,none,Jaffna,10,315,NA
2019,3,none,Kalutara,27,1672,NA
2019,3,none,Kandy,16,559,NA
2019,3,none,Kegalle,2,60,NA
2019,3,none,Kurunegala,1,16,NA
2019,3,none,Kilinochchi,1,15,NA
2019,3,none,Matale,19,677,NA
2019,3,none,Matara,31,979,NA
